method,PSNR,LPIPS,MTF_err,MTF50
degraded,38.960501353462426,0.11098340153694153,0.038630910956584726,0.03868211618112629
Wiener (oracle),38.201855525693034,0.4564131200313568,0.003201452392395304,0.07411157474531571
Richardson-Lucy,42.3883974436821,0.272201806306839,0.002398709171303179,0.07491431796640784
TV denoise,43.537143221186255,0.2529822289943695,0.03597266029245723,0.04134036684525379
NL-means,43.89128343754962,0.2512787878513336,0.034071260929095654,0.04324176620861536
unsharp,32.31991711811537,0.3912484645843506,0.05040460626329332,0.02690842087441769
SD-x4 diffusion,33.90498172862771,0.15889883041381836,0.027313,0.050
DiffBIR v2.1,38.67,0.1291,0.0394,0.0379
NAFNet-big,45.29925106283553,0.22473184764385223,0.005687,0.083
MERIT (ours),44.677095491020765,0.15038493275642395,0.0009274687933820414,0.07638555834432897
